"","NutRat","VitAdd","Year","Value","SD"
"1","0","no","2022",12.8466666666667,3.85948183050523
"2","2.2","no","2022",31.1444444444444,8.26802744176492
"3","16","no","2022",16.9888888888889,4.26803363518976
"4","55","no","2022",108.088888888889,72.245232445547
"5","110","no","2022",64.5555555555556,43.1062672679713
"6","0","yes","2022",11.7444444444444,5.38310113018303
"7","2.2","yes","2022",27.7988888888889,6.46111531479752
"8","16","yes","2022",17.5222222222222,4.31531510372585
"9","55","yes","2022",106.188888888889,65.717738177079
"10","110","yes","2022",61.7333333333333,36.0079157963912
"11","0","no","2023",13.4111111111111,2.09966928612844
"12","2.2","no","2023",69.4555555555556,23.9036143245698
"13","16","no","2023",33.8,10.7147095154278
"14","55","no","2023",36.0555555555556,15.883726822688
"15","110","no","2023",42.7888888888889,9.53918817882901
"16","0","yes","2023",13.8,1.94871752699051
"17","2.2","yes","2023",82.2222222222222,21.4561633206975
"18","16","yes","2023",43.8555555555556,12.9210207715094
"19","55","yes","2023",39.1666666666667,20.6368602263038
"20","110","yes","2023",43.1888888888889,11.0123163372249
